Zipcode,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Mean,Max,PopDensity,Area,InstalledCapacity,Average Price per Plot Size Unit,Potential Capacity,Difference in Capacity,Land required,Total Cost
92240,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,519.78,71.99,80.63,1803756800,77.17431696,-3.455683037,0.1205848703,317832391.7
92241,6.6,7,7.4,8.1,8,7.6,6.7,6,6,6.2,6.4,6.6,6.883333333,8.1,86.64,107.92,20,18296320,115.6917945,95.69179451,0.1495184289,127134969.9
92262,6.2,6.6,7,7.7,7.6,7.3,6.4,5.7,5.7,5.9,6,6.2,6.525,7.7,706.1,40.63,292.275,4571996160,43.55594525,-248.7190548,0.06805616445,367775251.4
92282,7.7,7.8,7.7,7.8,7.4,6.6,6.1,5.9,5.9,6.2,7,7.9,7,7.9,16.9,75.1,357.16,178181120,80.50828176,-276.6517182,0.1257941903,127074916
92394,7.7,8,8.4,9,8.9,8.8,8.1,7.3,6.9,7.1,7.5,7.8,7.958333333,9,1222.31,31.74,3.95,1224912640,34.02573719,30.07573719,0.04699333936,96661193.73
93501,8.3,8.7,9.3,10.2,10.3,10,8.9,8.1,7.8,7.9,8.3,8.5,8.858333333,10.3,15.87,367.34,2820.375,784547840,393.7937713,-2426.581229,0.6153027677,994666360
93518,4.3,4.7,5.2,5.9,6.6,6.7,5.9,5.2,4.8,4.5,4.3,4.4,5.208333333,6.7,2.68,486.97,162,1079040,522.0388544,360.0388544,0.5625607101,468657536.3
93536,8.7,8.4,8.5,8.9,8.6,8.2,7.5,6.9,6.7,7.3,8.2,8.8,8.058333333,8.9,259.96,289.91,1.85,320799360,310.7876959,308.9376959,0.4827151499,556473715.9
93550,8.3,8.7,9.3,10.2,10.3,10,8.9,8.1,7.8,7.9,8.3,8.5,8.858333333,10.3,761.14,103.4,0.95,549520000,110.8462894,109.8962894,0.1717129522,237224877.7
93560,4.3,4.7,5.2,5.9,6.6,6.7,5.9,5.2,4.8,4.5,4.3,4.4,5.208333333,6.7,44.21,445.22,143.5,12576640,477.2822531,333.7822531,0.5215347704,440476084
